Название,Цена,Изменение,Общая капитализация
eCash,$0.00004232,-0.93%,"$812,100,929"
USDD,$1.00,-0.05%,"$786,809,546"
IOTA,$0.275,+2.06%,"$764,400,753"
BitTorrent-New,$0.0000007937,-0.80%,"$748,196,472"
Helium,$5.66,-7.18%,"$722,116,517"
The Graph,$0.09967,+0.70%,"$687,733,232"
Neutrino USD,$0.9737,-0.01%,"$662,399,021"
PancakeSwap,$4.70,+1.59%,"$655,741,328"
Huobi Token,$4.11,-0.49%,"$629,617,234"
Neo,$8.71,+2.40%,"$614,660,074"
Klaytn,$0.1894,+0.58%,"$579,207,133"
Fantom,$0.2263,+0.54%,"$575,905,585"
PAX Gold,"$1,709.17",+0.48%,"$555,839,509"
Synthetix,$2.32,+0.72%,"$553,066,968"
THORChain,$1.65,-0.77%,"$546,930,321"
Nexo,$0.8934,+0.61%,"$500,296,146"
Curve DAO Token,$0.9036,+0.47%,"$480,340,738"
GateToken,$4.43,-1.22%,"$479,161,038"
Lido DAO,$1.53,+2.65%,"$477,970,934"
Dash,$42.11,+0.08%,"$460,850,364"
Basic Attention Token,$0.3048,+0.97%,"$455,883,267"
Enjin Coin,$0.4531,+0.77%,"$453,149,760"
Stacks,$0.3264,+0.33%,"$436,555,906"
Kava,$1.55,-0.31%,"$435,963,760"
Compound,$59.29,+1.19%,"$430,884,594"
Fei USD,$0.9961,-0.86%,"$423,329,302"
Zilliqa,$0.03153,+0.97%,"$421,666,295"
Waves,$3.82,+0.71%,"$418,231,911"
Mina,$0.5929,+0.13%,"$413,706,452"
Ravencoin,$0.03452,+2.83%,"$405,260,367"
Reserve Rights,$0.009356,-0.41%,"$395,765,531"
Trust Wallet Token,$0.9464,-3.60%,"$394,332,391"
Loopring,$0.2949,+1.20%,"$392,191,448"
Decred,$26.63,-0.84%,"$383,488,469"
Convex Finance,$5.60,-4.82%,"$379,132,522"
XDC Network,$0.03048,+2.89%,"$375,017,533"
NEM,$0.04166,-0.91%,"$374,917,225"
STEPN,$0.6244,+0.31%,"$374,623,231"
Kusama,$43.07,+1.21%,"$364,837,450"
Celo,$0.7773,+1.02%,"$363,720,969"
Bitcoin Gold,$20.48,+0.98%,"$358,698,879"
Holo,$0.002028,-0.04%,"$351,458,941"
Ethereum Name Service,$17.31,-7.80%,"$350,515,598"
1inch Network,$0.5831,+0.33%,"$340,467,423"
Terra,$2.54,-0.07%,"$324,168,923"
Celsius,$1.36,+0.88%,"$323,909,927"
BinaryX,$157.09,-1.13%,"$317,777,096"
Arweave,$9.51,+1.29%,"$317,505,384"
yearn.finance,"$8,303.72",-0.35%,"$304,229,464"
Oasis Network,$0.06044,+1.28%,"$303,856,690"
Qtum,$2.88,+0.59%,"$300,344,414"
Gemini Dollar,$0.9956,+0.37%,"$300,157,005"
Ankr,$0.03099,-0.56%,"$299,417,135"
Gnosis,$115.87,+4.38%,"$298,906,826"
TerraClassicUSD,$0.03035,+3.80%,"$297,847,975"
Gala,$0.04116,+0.40%,"$287,165,393"
Kadena,$1.41,-0.42%,"$279,172,099"
Theta Fuel,$0.05229,+0.05%,"$277,215,062"
IoTeX,$0.02834,+0.74%,"$270,349,292"
Braintrust,$2.18,+2.58%,"$266,403,630"
Golem,$0.2641,+0.17%,"$264,118,667"
Harmony,$0.01973,+1.35%,"$249,626,147"
OMG Network,$1.72,+1.05%,"$240,770,223"
Polymath,$0.2515,+2.65%,"$232,616,101"
Flux,$0.8238,+3.35%,"$228,912,127"
Livepeer,$9.22,+3.15%,"$228,425,301"
0x,$0.2688,+0.55%,"$227,772,904"
Balancer,$5.19,+0.46%,"$227,268,288"
Hive,$0.506,-1.03%,"$225,277,092"
JUST,$0.02529,+1.13%,"$225,139,630"
IOST,$0.01188,+0.94%,"$220,824,932"
BORA,$0.2376,+0.69%,"$220,386,372"
ICON,$0.2388,+0.60%,"$219,562,078"
Amp,$0.005112,-0.64%,"$215,861,056"
Symbol,$0.03729,+2.19%,"$208,197,238"
Serum,$0.7857,+0.20%,"$206,842,721"
Kyber Network Crystal v2,$1.15,+0.28%,"$204,686,592"
Optimism,$0.8595,+1.26%,"$201,766,683"
Ontology,$0.2264,+0.66%,"$198,121,108"
SwissBorg,$0.1957,-4.16%,"$195,669,730"
Storj,$0.4532,+0.71%,"$187,159,621"
WAX,$0.08563,+1.43%,"$187,451,657"
Moonbeam,$0.4695,-0.31%,"$186,824,013"
Immutable X,$0.7928,-0.16%,"$186,529,440"
Chia,$34.66,-1.52%,"$182,977,648"
Casper,$0.02997,+0.90%,"$182,867,334"
Siacoin,$0.003494,+0.64%,"$182,490,264"
MXC,$0.06833,-0.02%,"$180,542,375"
Horizen,$13.98,+3.04%,"$180,312,809"
SXP,$0.3576,+0.74%,"$178,720,666"
Audius,$0.2145,+2.61%,"$178,261,873"
WOO Network,$0.1402,+2.62%,"$161,796,648"
ABBC Coin,$0.1578,+1.02%,"$161,013,807"
UMA,$2.33,-0.88%,"$160,692,370"
Smooth Love Potion,$0.00371,-12.24%,"$159,297,988"
SKALE Network,$0.03903,+1.02%,"$155,656,265"
PlayDapp,$0.3153,+0.46%,"$153,944,690"
SushiSwap,$1.21,-5.28%,"$153,484,332"
Secret,$0.932,+1.84%,"$152,198,668"
Voyager Token,$0.5432,+2.03%,"$151,274,884"
DigiByte,$0.009575,+1.54%,"$150,323,091"
APENFT,$0.0000005383,-1.91%,"$149,143,046"
Injective,$1.95,-6.41%,"$142,029,743"
COTI,$0.1264,-2.15%,"$140,141,229"
Dogelon Mars,$0.000000253,-0.13%,"$138,565,951"
Pundi X (New),$0.5094,-4.99%,"$131,672,197"
Ren,$0.1305,-3.68%,"$130,327,395"
DAO Maker,$1.41,+2.63%,"$129,527,095"
Civic,$0.1281,+0.30%,"$128,080,315"
Velas,$0.05377,+2.09%,"$126,844,804"
Nervos Network,$0.003766,+2.16%,"$125,568,980"
Render Token,$0.493,+3.01%,"$125,129,596"
Lisk,$0.9676,-0.09%,"$124,728,081"
Keep Network,$0.1431,+0.32%,"$123,173,316"
MediBloc,$0.01945,+0.30%,"$121,048,183"
Energy Web Token,$3.96,-1.40%,"$118,974,957"
CEEK VR,$0.1463,+2.85%,"$117,858,655"
Bitcoin Standard Hashrate Token,$9.46,-6.60%,"$115,462,090"
ConstitutionDAO,$0.02228,+1.41%,"$112,719,866"
Syscoin,$0.1701,-0.53%,"$112,643,389"
Celer Network,$0.01558,+1.02%,"$110,424,857"
Constellation,$0.0848,+1.10%,"$107,428,157"
Nano,$0.8054,-0.91%,"$107,316,728"
NuCypher,$0.1524,+0.51%,"$107,155,030"
Request,$0.1055,+0.67%,"$105,481,851"
Ontology Gas,$0.3281,-0.18%,"$105,155,125"
Spell Token,$0.001013,+0.54%,"$103,914,530"
Ultra,$0.3401,+1.32%,"$103,316,114"
iExec RLC,$1.26,+2.19%,"$102,086,936"
Orbs,$0.03531,+0.37%,"$101,588,344"
Vulcan Forged PYR,$4.21,-3.31%,"$100,607,905"
Numeraire,$17.01,-16.45%,"$100,189,000"
WINkLink,$0.0001037,-2.01%,"$99,719,335"
Tribe,$0.2185,-0.84%,"$99,091,084"
Function X,$0.2426,-0.85%,"$99,104,833"
Status,$0.02845,-0.30%,"$98,718,599"
Acala Token,$0.1856,+3.46%,"$98,249,827"
Ardor,$0.09742,-0.29%,"$97,318,684"
API3,$1.71,+1.27%,"$96,567,276"
Reef,$0.00478,+1.73%,"$96,507,348"
Ocean Protocol,$0.1555,+0.95%,"$95,309,543"
Powerledger,$0.1951,+0.52%,"$94,708,500"
Prom,$5.70,-0.24%,"$93,845,798"
Dent,$0.0009342,+0.82%,"$92,492,060"
MX TOKEN,$0.9216,+0.27%,"$92,161,508"
Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,209.39",-0.53%,"$387,420,226,101"
Ethereum,"$1,355.90",-0.39%,"$166,323,537,676"
Tether,$1.00,+0.00%,"$68,071,895,267"
BNB,$294.07,+0.66%,"$47,444,094,125"
USD Coin,$0.9999,-0.00%,"$46,507,529,759"
XRP,$0.4953,-2.88%,"$24,693,354,000"
Binance USD,$0.9995,+0.05%,"$21,032,412,385"
Cardano,$0.4325,+0.37%,"$14,817,746,095"
Solana,$34.19,-0.65%,"$12,143,698,607"
Dogecoin,$0.06506,-0.75%,"$8,631,236,761"
Polygon,$0.8498,-1.89%,"$7,422,239,753"
Polkadot,$6.40,+1.08%,"$7,186,259,982"
Dai,$1.00,-0.02%,"$6,816,126,788"
Shiba Inu,$0.00001142,+0.01%,"$6,270,453,254"
TRON,$0.06246,-0.53%,"$5,767,400,357"
Uniswap,$6.78,-1.12%,"$5,164,098,975"
Avalanche,$17.30,+0.33%,"$5,123,042,579"
Wrapped Bitcoin,"$20,224.13",-0.62%,"$4,952,010,109"
UNUS SED LEO,$4.23,-1.67%,"$4,034,028,329"
Litecoin,$54.70,+0.15%,"$3,900,921,212"
Chainlink,$7.91,-2.44%,"$3,890,222,385"
Ethereum Classic,$27.62,+0.35%,"$3,789,504,056"
Cosmos,$12.94,+0.65%,"$3,704,692,891"
FTX Token,$24.84,+0.50%,"$3,328,500,563"
Stellar,$0.1194,+0.77%,"$3,045,205,188"
NEAR Protocol,$3.70,-2.82%,"$2,966,160,615"
Cronos,$0.1099,+0.82%,"$2,777,243,583"
Monero,$147.01,-0.76%,"$2,673,214,236"
Algorand,$0.3526,+1.01%,"$2,473,478,416"
Bitcoin Cash,$122.54,-0.56%,"$2,351,921,654"
Terra Classic,$0.0002994,+3.45%,"$1,841,712,205"
Flow,$1.69,+0.83%,"$1,754,443,426"
Toncoin,$1.42,-1.04%,"$1,734,562,657"
VeChain,$0.02382,+0.82%,"$1,726,878,894"
Quant,$136.94,+2.94%,"$1,653,211,768"
Filecoin,$5.59,-0.10%,"$1,643,772,777"
ApeCoin,$5.21,+0.97%,"$1,599,001,593"
Internet Computer,$6.03,+1.19%,"$1,582,333,863"
Hedera,$0.05801,+0.42%,"$1,332,435,353"
Decentraland,$0.7061,-0.65%,"$1,309,829,394"
Tezos,$1.43,+1.63%,"$1,303,299,474"
Chiliz,$0.2166,+0.78%,"$1,299,658,228"
The Sandbox,$0.864,-1.71%,"$1,295,591,067"
Elrond,$54.76,+2.42%,"$1,287,906,514"
EOS,$1.18,+1.87%,"$1,179,307,817"
Aave,$78.35,+0.24%,"$1,104,174,345"
Theta Network,$1.08,-0.66%,"$1,082,427,208"
Axie Infinity,$12.80,+0.72%,"$1,063,130,120"
Bitcoin SV,$49.44,-1.05%,"$948,726,780"
Pax Dollar,$0.9993,+0.20%,"$944,964,467"
OKB,$15.59,+0.63%,"$935,676,184"
KuCoin Token,$9.12,+0.57%,"$897,186,321"
TrueUSD,$0.9999,+0.00%,"$890,888,801"
Zcash,$56.83,-0.20%,"$875,994,459"
Maker,$837.31,+1.61%,"$818,575,643"
eCash,$0.00004232,-0.93%,"$812,100,929"
USDD,$0.9998,-0.00%,"$786,624,399"
IOTA,$0.2747,+2.14%,"$763,658,094"
BitTorrent-New,$0.0000007937,-0.80%,"$748,196,472"
Helium,$5.66,-7.18%,"$722,116,517"
The Graph,$0.09967,+0.70%,"$687,733,232"
Neutrino USD,$0.9737,-0.01%,"$662,399,021"
PancakeSwap,$4.70,+1.71%,"$655,011,615"
Huobi Token,$4.11,-0.49%,"$629,617,234"
Neo,$8.71,+2.40%,"$614,660,074"
Klaytn,$0.1894,+0.58%,"$579,207,133"
Fantom,$0.2263,+0.53%,"$575,920,551"
PAX Gold,"$1,709.33",+0.49%,"$555,889,930"
Synthetix,$2.32,+0.78%,"$552,938,953"
THORChain,$1.65,-0.77%,"$546,930,321"
Nexo,$0.8937,+0.58%,"$500,473,407"
Curve DAO Token,$0.9036,+0.47%,"$480,340,738"
GateToken,$4.43,-1.22%,"$479,161,038"
Lido DAO,$1.53,+2.65%,"$477,970,934"
Dash,$42.08,+0.19%,"$460,545,545"
Basic Attention Token,$0.3048,+0.97%,"$455,883,267"
Enjin Coin,$0.4529,+0.87%,"$452,913,403"
Stacks,$0.3259,+0.42%,"$435,834,562"
Kava,$1.56,-0.32%,"$436,061,085"
Compound,$59.25,+1.26%,"$430,586,897"
Fei USD,$0.9957,-0.74%,"$423,152,130"
Zilliqa,$0.0315,+1.13%,"$421,262,135"
Waves,$3.82,+0.71%,"$418,231,911"
Mina,$0.5929,+0.13%,"$413,706,452"
Ravencoin,$0.03452,+2.83%,"$405,260,367"
Reserve Rights,$0.009356,-0.41%,"$395,765,531"
Trust Wallet Token,$0.9464,-3.60%,"$394,332,391"
Loopring,$0.2949,+1.18%,"$392,230,590"
Decred,$26.63,-0.84%,"$383,488,469"
Convex Finance,$5.60,-4.75%,"$379,099,913"
XDC Network,$0.03048,+2.89%,"$375,017,533"
NEM,$0.04166,-0.91%,"$374,917,225"
STEPN,$0.624,+0.35%,"$374,378,786"
Kusama,$43.07,+1.21%,"$364,837,450"
Celo,$0.7773,+1.02%,"$363,720,969"
Bitcoin Gold,$20.49,+0.91%,"$358,869,778"
Holo,$0.002026,+0.04%,"$351,161,868"
Ethereum Name Service,$17.31,-7.80%,"$350,515,598"
1inch Network,$0.5833,+0.42%,"$340,565,220"
Terra,$2.54,+0.98%,"$323,782,448"
Celsius,$1.36,+0.96%,"$323,691,993"
BinaryX,$157.06,-1.17%,"$317,714,255"
Arweave,$9.51,+1.29%,"$317,505,384"
yearn.finance,"$8,303.72",-0.35%,"$304,229,464"
Oasis Network,$0.06044,+1.28%,"$303,856,690"
Qtum,$2.88,+0.59%,"$300,344,414"
Gemini Dollar,$0.9955,+0.38%,"$300,130,291"
Ankr,$0.03099,-0.56%,"$299,417,135"
Gnosis,$115.87,+4.38%,"$298,906,826"
TerraClassicUSD,$0.03031,+3.79%,"$297,492,349"
Gala,$0.04116,+0.40%,"$287,165,393"
Kadena,$1.41,-0.42%,"$279,172,099"
Theta Fuel,$0.05229,+0.05%,"$277,215,062"
IoTeX,$0.02834,+0.74%,"$270,349,292"
Braintrust,$2.18,+2.81%,"$265,784,244"
Golem,$0.2641,+0.06%,"$264,088,799"
Harmony,$0.01972,+1.44%,"$249,549,879"
OMG Network,$1.72,+1.15%,"$240,567,429"
Polymath,$0.2515,+2.65%,"$232,616,101"
Flux,$0.8238,+3.35%,"$228,912,127"
Livepeer,$9.22,+3.15%,"$228,535,165"
0x,$0.2687,+0.59%,"$227,734,154"
Balancer,$5.18,+0.54%,"$227,145,678"
Hive,$0.506,-1.03%,"$225,277,092"
JUST,$0.02529,+1.13%,"$225,139,630"
IOST,$0.01188,+0.94%,"$220,824,932"
BORA,$0.2376,+0.44%,"$220,387,507"
ICON,$0.2389,+0.53%,"$219,645,510"
Amp,$0.005112,-0.64%,"$215,861,056"
Symbol,$0.03729,+2.19%,"$208,197,238"
Serum,$0.7857,+0.20%,"$206,842,721"
Kyber Network Crystal v2,$1.15,+0.28%,"$204,686,592"
Optimism,$0.8595,+1.26%,"$201,766,683"
Ontology,$0.2265,+0.56%,"$198,237,114"
SwissBorg,$0.1957,-4.16%,"$195,669,730"
Storj,$0.4532,+0.71%,"$187,159,621"
WAX,$0.08559,+1.41%,"$187,356,392"
Moonbeam,$0.4675,+0.17%,"$186,018,957"
Immutable X,$0.7923,-0.04%,"$186,409,746"
Chia,$34.66,-1.52%,"$182,977,648"
Casper,$0.02995,+1.00%,"$182,748,165"
Siacoin,$0.003496,+0.57%,"$182,578,301"
MXC,$0.06833,-0.02%,"$180,542,375"
Horizen,$13.98,+3.04%,"$180,312,809"
SXP,$0.3576,+0.74%,"$178,720,666"
Audius,$0.2145,+2.61%,"$178,261,873"
WOO Network,$0.1402,+2.62%,"$161,796,648"
ABBC Coin,$0.1581,+0.82%,"$161,305,920"
UMA,$2.33,-0.88%,"$160,692,370"
Smooth Love Potion,$0.003658,-10.63%,"$157,054,507"
SKALE Network,$0.03903,+1.02%,"$155,656,265"
PlayDapp,$0.3153,+0.46%,"$153,944,690"
SushiSwap,$1.21,-5.28%,"$153,484,332"
Secret,$0.9319,+1.91%,"$152,175,015"
Voyager Token,$0.5419,+2.35%,"$150,915,203"
DigiByte,$0.009575,+1.54%,"$150,323,091"
APENFT,$0.0000005383,-1.91%,"$149,143,046"
Injective,$1.94,-6.59%,"$141,900,815"
COTI,$0.1259,-1.90%,"$139,569,246"
Dogelon Mars,$0.000000253,-0.13%,"$138,565,951"
Pundi X (New),$0.5094,-4.99%,"$131,672,197"
Ren,$0.1305,-3.68%,"$130,327,395"
DAO Maker,$1.41,+2.63%,"$129,527,095"
Civic,$0.128,+0.44%,"$128,014,152"
Velas,$0.05375,+2.29%,"$126,790,808"
Nervos Network,$0.003775,+1.67%,"$125,869,761"
Render Token,$0.493,+3.01%,"$125,129,596"
Lisk,$0.9676,-0.09%,"$124,728,081"
Keep Network,$0.143,+0.39%,"$123,114,971"
MediBloc,$0.01945,+0.63%,"$121,041,218"
Energy Web Token,$3.96,-1.50%,"$119,101,090"
CEEK VR,$0.1462,+1.69%,"$117,831,263"
Bitcoin Standard Hashrate Token,$9.49,-6.92%,"$115,752,005"
ConstitutionDAO,$0.02228,+1.41%,"$112,719,866"
Syscoin,$0.1701,-0.53%,"$112,643,389"
Celer Network,$0.01558,+1.04%,"$110,373,136"
Constellation,$0.0848,+1.10%,"$107,428,157"
Nano,$0.805,-0.86%,"$107,263,725"
NuCypher,$0.1524,+0.51%,"$107,155,030"
Request,$0.1057,+0.50%,"$105,634,830"
Ontology Gas,$0.3281,-0.18%,"$105,155,125"
Spell Token,$0.001013,+0.54%,"$103,914,530"
Ultra,$0.3401,+1.32%,"$103,316,114"
iExec RLC,$1.26,+2.19%,"$102,086,936"
Orbs,$0.03531,+0.37%,"$101,588,344"
Vulcan Forged PYR,$4.21,-3.21%,"$100,508,716"
Numeraire,$17.04,-16.64%,"$100,327,242"
WINkLink,$0.0001037,-2.01%,"$99,719,335"
Tribe,$0.2186,-0.88%,"$99,117,776"
Function X,$0.2426,-0.85%,"$99,104,833"
Status,$0.02845,-0.30%,"$98,718,599"
Acala Token,$0.1854,+3.51%,"$98,153,123"
Ardor,$0.09742,-0.29%,"$97,318,684"
API3,$1.70,+1.61%,"$96,411,777"
Reef,$0.004777,+1.85%,"$96,444,442"
Ocean Protocol,$0.1555,+0.95%,"$95,309,543"
Powerledger,$0.195,+0.60%,"$94,642,679"
Prom,$5.70,-0.24%,"$93,845,798"
Dent,$0.0009342,+0.82%,"$92,492,060"
MX TOKEN,$0.9216,+0.27%,"$92,161,508"
